case_id,t_state,t_county,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
3047249,CO,Lincoln County,Limon I,2012,125,GE Wind,GE1.6-100,1600,130.1,-103.56549100000001,39.379395,1000 - 2000
3040166,CO,Lincoln County,Limon I,2012,125,GE Wind,GE1.6-100,1600,130.1,-103.61269399999999,39.421993,1000 - 2000
3050879,CO,Lincoln County,Limon III,2014,118,GE Wind,GE1.7-100,1700,135.0,-103.396233,39.424812,1000 - 2000
3051061,CO,Lincoln County,Limon III,2014,118,GE Wind,GE1.7-100,1700,135.0,-103.394882,39.309433,1000 - 2000
3053326,ND,Williams County,Lindahl,2017,75,Vestas,V100-2.0,2000,130.1,-102.90643299999999,48.556656,2000 - 3000
3054629,TX,Comanche County,Logan's Gap Wind,2015,87,Siemens,SWT-2.3-108,2300,134.1,-98.6791,31.732695,2000 - 3000
3027363,TX,Shackelford County,Lone Star II,2008,78,Gamesa,G87-2.0,2000,121.6,-99.526291,32.572796000000004,2000 - 3000
3031320,MO,DeKalb County,Lost Creek Ridge Wind Farm,2010,99,GE Wind,GE1.5-82.5,1500,121.3,-94.53999300000001,39.961890999999994,1000 - 2000
3046075,IA,Webster County,Lundgren,2014,107,Siemens,SWT-2.346-108,2346,134.1,-94.205399,42.284003999999996,2000 - 3000
3030630,ND,Steele County,Luverne,2009,33,GE Wind,GE1.5-82.5,1500,121.3,-97.95089,47.350491,1000 - 2000
3043868,TX,Carson County,Majestic II,2012,31,GE Wind,GE1.6-82.5,1600,121.3,-101.57869000000001,35.402294,1000 - 2000
3043856,TX,Carson County,Majestic II,2012,31,GE Wind,GE1.6-82.5,1600,121.3,-101.60709399999999,35.409595,1000 - 2000
3036802,CA,Kern County,Manzana Winds,2012,126,GE Wind,GE1.5-77,1500,103.6,-118.47358700000001,34.914394,1000 - 2000
3018594,WA,Columbia County,Marengo I,2007,78,Vestas,V80-1.8,1800,107.0,-117.79908799999998,46.377396000000005,1000 - 2000
3048297,TX,Dawson County,Mesquite Creek,2015,118,GE Wind,GE1.79-100,1790,130.1,-101.736008,32.733994,1000 - 2000
3048283,TX,Dawson County,Mesquite Creek,2015,118,GE Wind,GE1.79-100,1790,130.1,-101.72206899999999,32.75312,1000 - 2000
3048281,TX,Dawson County,Mesquite Creek,2015,118,GE Wind,GE1.79-100,1790,130.1,-101.728447,32.754448,1000 - 2000
3042523,IL,Woodford County,Minonk,2012,100,Gamesa,G90-2.0,2000,145.1,-88.937096,40.834990999999995,2000 - 3000
3036714,CA,Riverside County,Mountain View IV,2012,49,Mitsubishi,MWT62/1.0,1000,90.8,-116.565285,33.875294,1000 - 2000
